Mallorcan Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,human settlement,re-introduction
Mallorcan Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,water resource depletion,legislation
Mallorcan Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,water resource depletion,captive-breeding
Mallorcan Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,water resource depletion,re-introduction
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Terrestrial,fragmented population,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Terrestrial,loss of breeding habitat,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Terrestrial,excessive water withdrawal,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Terrestrial,droughts,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Terrestrial,agricultural practices,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,fragmented population,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,loss of breeding habitat,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,excessive water withdrawal,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,droughts,new breeding habitats
Betic Midwife Toad,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Vulnerable,Spain,Freshwater,agricultural practices,new breeding habitats
Alzoniella hartwigschuetti,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Near Threatened,Austria,Freshwater,pollution
Alzoniella hartwigschuetti,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Near Threatened,Austria,Freshwater,water exploitation
Amanipodagrion gilliesi,ARTHROPODA,INSECTA,ODONATA,MEGAPODAGRIONIDAE,Critically Endangered,Tanzania,Terrestrial,Forest destruction,Forest Reserve
Amanipodagrion gilliesi,ARTHROPODA,INSECTA,ODONATA,MEGAPODAGRIONIDAE,Critically Endangered,Tanzania,Terrestrial,water pollution,Forest Reserve
Amanipodagrion gilliesi,ARTHROPODA,INSECTA,ODONATA,MEGAPODAGRIONIDAE,Critically Endangered,Tanzania,Freshwater,Forest destruction,Forest Reserve
Amanipodagrion gilliesi,ARTHROPODA,INSECTA,ODONATA,MEGAPODAGRIONIDAE,Critically Endangered,Tanzania,Freshwater,water pollution,Forest Reserve
Amastra cylindrica, MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,AMASTRIDAE,Critically Endangered,United States,Terrestrial,,,
Amastra micans,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,AMASTRIDAE,Critically Endangered,United States,Terrestrial,,,
